,d_spell,f_spell,champion,side,role,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
3297,4,12,Akali,Side.blue,Lane.mid_lane,2,2200,6713,2200,7,9358,0.5714285714285714,2,13,1,113385,23507,185,0,15,False
3298,12,4,Akshan,Side.red,Lane.top_lane,1,3088,3088,3088,6,7043,0.5,2,11,0,73758,12499,139,1,11,False
3299,4,12,Xerath,Side.blue,Lane.mid_lane,0,0,0,0,5,6023,0.4,2,10,13,49873,8367,115,0,12,False
3300,4,12,Sylas,Side.red,Lane.mid_lane,11,4015,4015,4015,6,11583,2.5,4,15,34,126562,29467,195,1,27,True
3301,11,4,Diana,Side.blue,Lane.jungle,12,4934,24422,4934,6,16967,4.166666666666667,13,17,11,212912,27662,63,3,43,True
3302,4,12,Jax,Side.red,Lane.top_lane,3,3517,4904,3517,8,10118,0.75,3,14,18,109405,33263,180,1,12,False
3303,4,14,Gragas,Side.red,Lane.utility,3,0,3120,0,4,5927,2.0,5,8,27,24291,13880,35,0,27,False
3304,12,4,Malphite,Side.blue,Lane.top_lane,5,627,3529,627,0,6216,6.0,1,11,16,55572,5107,111,1,11,True
3305,3,4,Jhin,Side.blue,Lane.bot_lane,5,293,7601,293,5,12003,2.4,7,14,22,139344,16985,214,1,27,False
3306,4,12,Renekton,Side.blue,Lane.top_lane,13,1950,13634,1950,5,14106,3.0,2,18,28,181222,39400,220,0,43,True
3307,4,12,Gragas,Side.blue,Lane.top_lane,10,643,643,643,7,10126,1.7142857142857142,2,15,57,141350,29468,198,0,28,False
3308,4,14,Lux,Side.blue,Lane.utility,13,580,1643,580,9,7643,1.6666666666666667,2,12,45,27887,18021,11,0,53,False
3309,4,14,Nami,Side.blue,Lane.utility,12,0,2148,0,4,6111,3.25,1,11,14,10835,10954,12,0,60,False
3310,12,4,Kennen,Side.blue,Lane.top_lane,13,6873,12247,6873,6,14500,3.5,8,18,20,173507,29613,210,3,53,True
3311,4,11,Nocturne,Side.red,Lane.jungle,10,5676,43862,5676,4,18309,6.75,17,18,280,270546,39185,50,4,50,True
3312,4,14,Rakan,Side.blue,Lane.utility,8,0,1942,0,7,7026,1.2857142857142858,1,12,15,16525,15478,36,0,66,False
3313,4,11,Ekko,Side.blue,Lane.jungle,15,1655,16051,1655,5,12306,4.6,8,16,22,217101,28170,38,1,25,True
3314,11,4,Viego,Side.red,Lane.jungle,5,0,11004,0,3,6034,3.0,4,10,13,69719,13125,13,0,19,True
3315,4,12,Fiora,Side.red,Lane.top_lane,11,10763,14497,10763,5,11994,2.8,3,16,12,162664,33759,184,5,20,True
3316,12,4,Gangplank,Side.blue,Lane.top_lane,3,0,1061,0,4,8377,0.75,0,14,11,115520,18409,178,0,22,False
3317,4,12,Lillia,Side.blue,Lane.top_lane,8,1858,3691,1858,2,9562,5.0,2,14,14,127820,17032,185,1,11,True
3318,4,12,Kennen,Side.red,Lane.top_lane,8,5245,15373,5245,6,12862,2.6666666666666665,8,16,12,136684,16578,178,2,14,True
3319,7,4,Kindred,Side.red,Lane.bot_lane,9,4763,13199,4763,6,12525,3.3333333333333335,11,13,2,131553,22872,172,2,23,True
3320,4,14,Lux,Side.blue,Lane.utility,18,2642,9426,2642,4,11805,7.25,11,15,38,59624,14274,40,2,82,True
3321,4,12,Camille,Side.red,Lane.top_lane,3,795,3145,795,8,5469,0.375,0,10,12,57856,18412,100,0,7,False
3322,4,14,Rell,Side.blue,Lane.utility,4,0,360,0,9,5541,0.5555555555555556,1,9,21,15007,15480,25,0,60,False
3323,12,4,Viktor,Side.red,Lane.top_lane,6,0,1747,0,12,10686,0.6666666666666666,2,16,20,165065,21379,224,0,33,False
3324,14,4,Riven,Side.blue,Lane.top_lane,12,4179,6403,4179,6,15662,3.8333333333333335,11,17,35,141377,28490,182,1,35,True
3325,4,12,Jayce,Side.red,Lane.top_lane,3,5746,6965,5746,2,10702,4.0,5,14,7,126769,11570,186,3,19,True
3326,4,14,DrMundo,Side.red,Lane.utility,0,752,752,752,2,4446,0.5,1,8,10,28163,6392,40,0,14,False
3327,14,4,Karma,Side.blue,Lane.utility,8,188,1134,188,10,5764,0.8,0,10,13,17382,16453,19,0,58,False
3328,12,4,Irelia,Side.blue,Lane.top_lane,1,1578,1911,1578,3,6686,1.0,2,12,15,66988,14038,146,0,12,False
3329,3,4,Vayne,Side.red,Lane.bot_lane,16,9907,22941,9907,4,23347,8.75,19,18,18,279451,35890,305,5,23,True
3330,12,4,Jax,Side.blue,Lane.top_lane,4,6254,6254,6254,7,10166,0.8571428571428571,2,14,10,114703,24440,152,2,25,False
3331,4,11,Nidalee,Side.red,Lane.jungle,9,2386,29683,2386,2,12491,10.0,11,15,2,156683,27283,26,3,27,True
3332,12,4,Rumble,Side.red,Lane.top_lane,10,2228,3608,2228,4,8979,3.25,3,13,11,79820,9462,141,2,21,True
3333,14,3,Yuumi,Side.blue,Lane.utility,25,0,0,0,4,8938,6.25,0,15,13,19997,8636,6,0,57,True
3334,4,1,Aphelios,Side.red,Lane.bot_lane,4,3080,8690,3080,5,10027,1.6,4,13,8,104783,13577,163,0,30,True
3335,12,4,Viktor,Side.red,Lane.top_lane,13,1439,5934,1439,5,11012,3.8,6,15,22,106338,14338,151,1,20,True
3336,4,12,Viktor,Side.blue,Lane.top_lane,4,6490,12608,6490,1,12794,8.0,4,15,18,158236,12610,192,2,21,True
3337,11,4,XinZhao,Side.red,Lane.jungle,10,117,10347,117,9,11374,2.0,8,14,33,143549,37749,30,0,25,False
3338,3,4,Yasuo,Side.red,Lane.bot_lane,4,4975,4975,4975,4,8179,2.5,6,9,11,59965,9539,104,1,10,True
3339,12,4,Graves,Side.blue,Lane.top_lane,5,4743,17289,4743,2,10775,5.0,5,15,16,147146,18346,196,2,23,True
