,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,gold_earned,kda,kills,level,time_cc,damage_total,damage_taken,total_minions_killed,turret_kills,vision_score,result
234,14,4,Lux,Side.red,11,1913,2522,1913,2,11005,11.0,11,13,31,48756,7326,40,0,46,True
235,14,4,Karma,Side.red,24,1480,1480,1480,5,8623,5.6,4,12,17,26433,12204,8,0,39,True
236,4,12,Yasuo,Side.red,0,7233,11312,7233,9,10155,0.2222222222222222,2,14,4,144941,19275,154,2,5,True
237,11,4,JarvanIV,Side.blue,5,0,2491,0,4,7386,1.5,1,12,12,97744,15963,24,0,22,False
238,3,4,Twitch,Side.red,6,1558,3547,1558,10,10942,1.5,9,13,11,78090,19652,154,0,17,False
239,12,4,Ekko,Side.red,10,2977,8373,2977,1,9976,17.0,7,14,12,103613,17188,145,1,24,True
240,3,4,Lulu,Side.red,10,0,3937,0,3,5709,3.6666666666666665,1,10,14,9635,7470,6,0,37,True
241,6,4,Garen,Side.red,4,2854,2854,2854,5,8085,1.2,2,13,17,81831,16949,167,1,17,False
242,11,4,Elise,Side.blue,9,0,17579,0,5,10083,3.0,6,14,19,115086,21213,36,0,32,True
243,12,14,Katarina,Side.red,7,4953,13628,4953,7,14892,2.857142857142857,13,16,0,142633,24208,185,1,15,True
244,4,7,Sona,Side.blue,16,3067,9793,3067,3,7917,5.666666666666667,1,13,10,29852,13940,20,1,52,True
245,4,14,Teemo,Side.red,7,1267,13283,1267,5,9698,1.6,1,14,19,119630,15740,179,0,22,False
246,11,4,Graves,Side.red,13,5851,55915,5851,3,12904,6.666666666666667,7,15,23,195179,23071,28,3,27,True
247,3,4,Ezreal,Side.blue,3,2040,7694,2040,2,7224,5.0,7,10,2,47609,7798,102,1,12,True
248,11,6,Olaf,Side.red,3,117,6887,117,5,5982,0.8,1,10,7,80541,19827,14,0,14,False
249,14,4,Pantheon,Side.red,6,284,1023,284,1,4796,8.0,2,8,6,15310,4093,29,0,25,True
250,7,4,Jinx,Side.blue,10,4081,18313,4081,8,14464,2.25,8,15,12,201797,24882,208,1,23,False
251,14,4,Zilean,Side.blue,17,78,1694,78,5,9957,4.0,3,16,46,56858,17973,48,0,61,False
252,4,11,Viego,Side.blue,2,243,22538,243,8,10896,0.625,3,15,12,172737,42598,50,0,32,False
253,11,4,Evelynn,Side.red,8,0,5267,0,0,8351,14.0,6,12,5,104129,15527,11,0,22,True
254,4,11,MasterYi,Side.red,3,896,23691,896,6,13059,1.8333333333333333,8,16,1,199125,26770,65,3,39,False
255,4,11,Ivern,Side.red,3,0,1821,0,4,7020,1.25,2,11,22,285959,8155,10,0,25,False
256,14,4,TwistedFate,Side.blue,14,1358,2052,1358,8,13238,2.5,6,17,48,154670,24057,188,0,39,False
257,14,12,Akali,Side.red,9,3099,4128,3099,4,12323,5.0,11,15,2,117444,24169,168,1,8,True
258,4,14,Karma,Side.red,3,196,196,196,4,7293,1.0,1,12,24,45792,10743,56,0,50,False
259,14,4,Zoe,Side.blue,11,2919,9018,2919,9,11587,1.6666666666666667,4,16,36,127681,25718,190,1,29,True
260,4,12,Yone,Side.blue,4,2165,2165,2165,3,10812,3.6666666666666665,7,14,15,116847,15406,191,0,20,True
261,12,4,Pyke,Side.blue,1,1031,1031,1031,6,9757,1.6666666666666667,9,11,16,26434,16241,53,0,8,False
262,4,12,Azir,Side.red,2,2282,11642,2282,7,12390,1.4285714285714286,8,16,12,139029,20644,191,0,28,True
263,4,11,LeeSin,Side.red,13,2561,33647,2561,3,12201,7.333333333333333,9,15,16,170219,35351,22,1,30,True
264,4,12,Gnar,Side.blue,8,6036,8516,6036,6,12496,2.1666666666666665,5,15,35,151126,27471,188,3,26,False
265,4,12,Jayce,Side.blue,3,2683,7529,2683,5,7661,2.0,7,11,11,50800,9703,80,0,7,True
266,4,11,Taliyah,Side.blue,9,488,24790,488,4,10156,4.0,7,13,15,133067,15696,28,1,21,True
267,14,4,Taric,Side.red,32,1205,7055,1205,6,11678,6.0,4,16,35,44254,18760,58,0,62,True
268,12,4,Pyke,Side.red,7,0,0,0,10,12452,1.5,8,12,15,22814,23137,51,0,13,False
269,12,4,Kled,Side.red,5,0,0,0,5,9799,2.0,5,14,8,93856,29817,159,0,13,False
270,4,7,Nami,Side.red,16,614,648,614,7,9522,2.7142857142857144,3,13,27,15843,17248,12,1,58,False
271,4,11,Viego,Side.blue,4,633,14518,633,4,8567,2.0,4,11,11,102116,18422,8,0,11,False
272,4,12,Poppy,Side.blue,5,1101,3569,1101,5,9887,2.0,5,14,24,79135,22576,128,1,18,True
273,4,7,Soraka,Side.red,17,829,4369,829,2,7348,8.5,0,13,22,14317,9845,12,1,61,True
274,11,4,Viego,Side.blue,13,102,23347,102,6,18163,4.833333333333333,16,18,29,254594,62988,55,0,31,False
275,14,4,Gragas,Side.blue,13,1811,9166,1811,7,10835,2.4285714285714284,4,15,38,113545,21967,148,1,23,True
276,12,4,Fiora,Side.red,3,375,375,375,8,7503,0.625,2,13,6,73290,21445,150,0,27,False
